,localx_X,localy_X,vel_X,acc_X,laneID_X,localy_Y,vel_Y,acc_Y,laneID_Y,relative_x,relative_y,relative_distance,num_lanes,duration,direction_X__1.0,direction_X__2.0,direction_X__3.0,direction_X__4.0,direction_Y__1.0,direction_Y__2.0,direction_Y__3.0,direction_Y__4.0,movement_X__1.0,movement_X__2.0,movement_X__3.0,movement_Y__1.0,movement_Y__2.0,movement_Y__3.0,exit_X__201.0,exit_X__203.0,exit_X__204.0,exit_X__205.0,exit_X__206.0,exit_X__207.0,exit_X__208.0,exit_X__209.0,exit_X__210.0,exit_X__211.0,exit_Y__201.0,exit_Y__203.0,exit_Y__204.0,exit_Y__205.0,exit_Y__206.0,exit_Y__207.0,exit_Y__208.0,exit_Y__209.0,exit_Y__210.0,exit_Y__211.0,int_X__0.0,int_X__1.0,int_X__2.0,int_X__3.0,int_X__4.0,int_Y__0.0,int_Y__1.0,int_Y__2.0,int_Y__3.0,int_Y__4.0,section_X__0.0,section_X__1.0,section_X__2.0,section_X__3.0,section_X__4.0,section_X__5.0,section_Y__0.0,section_Y__1.0,section_Y__2.0,section_Y__3.0,section_Y__4.0,section_Y__5.0,distance_x_toexit,distance_y_toexit,range,zero_to_10,ten_to_30,thirty_plus
80,46.613,65.972,26.27,0.0,0,117.214,18.95,1.81,3,-1.6493902440000001,-16.2195122,16.30316117,3,12300,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,312.8884627,1496.7224119999998,50,0,1,0
81,11.061,110.334,29.38,8.42,1,70.541,26.27,0.0,0,-4.668902439,15.01280488,15.72205331,3,12100,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1502.54037,308.96999700000003,50,0,1,0
82,33.129,161.60299999999998,23.36,-1.71,3,82.244,25.39,-11.21,0,7.838109756000001,22.93689024,24.23916044,3,11600,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1452.554951,298.943099,50,0,1,0
83,45.403999999999996,41.986999999999995,18.6,0.0,2,89.3,23.85,-11.07,0,-3.2371951219999997,-14.71859756,15.07038641,3,11300,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1574.054412,292.58920980000005,50,0,1,0
84,48.20399999999999,63.426,25.53,0.0,0,101.21700000000001,23.75,5.9,4,-0.9496951220000001,-12.07804878,12.11532844,3,10800,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,315.0621034,281.1091482,50,0,1,0
99,-45.581,533.201,12.22,-2.39,3,429.95300000000003,0.0,0.0,1,-12.15182927,42.8625,44.5517773,3,11100,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,515.7461422,406.5893577,50,0,1,0
111,46.958,65.67399999999999,25.53,0.0,0,117.815,35.34,11.23,1,3.392987805,-18.6027439,18.909639000000002,3,12400,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,313.1097805,1495.05716,50,0,1,0
112,32.327,154.167,21.56,10.52,3,72.551,25.45,-5.62,0,6.3298780489999995,24.297256100000002,25.10824586,3,12100,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1459.941338,307.1036159,50,0,1,0
113,40.156,105.979,28.17,11.12,4,54.821999999999996,22.7,-6.98,0,8.090853658,13.85121951,16.0411407,3,10800,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,275.47947660000005,1560.102263,50,0,1,0
114,41.129,124.796,32.5,-0.29,4,233.17,21.82,0.26,3,-11.46219512,-31.0152439,33.06549971,3,10200,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,257.0265404,1381.43714,50,0,1,0
115,41.376000000000005,131.287,32.48,0.0,4,101.292,26.02,8.45,1,11.90060976,4.982012195,12.90135489,3,10000,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,250.7136999,1511.4791810000002,50,0,1,0
121,-44.934,510.98,14.19,-9.17,3,429.95300000000003,0.0,0.0,1,-14.91707317,36.67317073,39.59091466,3,12900,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,493.56660080000006,406.5893577,50,0,1,0
126,23.041,161.053,47.33,1.75,2,325.39799999999997,34.42,-11.09,3,-24.819512200000002,-43.31036585,49.91789234,3,26800,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1452.446512,1292.021777,50,0,1,0
130,15.333,581.738,49.18,0.0,2,744.67,40.22,1.05,3,-23.7820122,-43.68079268,49.73525664,3,19600,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1037.963081,325.84704389999996,50,0,1,0
131,44.589,67.404,0.0,0.0,2,35.678000000000004,37.97,0.0,2,12.47713415,5.454268292999999,13.61719204,3,39400,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,998.9757616,1577.534738,50,0,0,1
132,17.335,32.552,36.97,0.0,2,103.21,23.95,-3.39,3,-13.02530488,-18.30365854,22.46513928,3,36500,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1581.501807,963.9745095000001,50,0,0,1
133,-19.125,1123.623,0.0,0.0,1,967.898,12.15,0.25,31,4.7698170730000005,49.53079268,49.75992945,3,12800,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,750.4295406,104.5075641,50,0,1,0
135,-40.111,1139.25,2.17,-6.52,3,1001.3510000000001,14.14,0.0,2,1.729573171,44.53841463,44.57198449,3,16200,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1115.524527,626.9166522,50,0,1,0
136,28.903000000000002,981.8910000000001,21.55,-11.17,2,1130.465,12.11,-11.2,1,-9.508536585,-44.75579268,45.75470737,3,17700,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,645.3627991000001,757.1016863,50,0,1,0
137,29.826999999999998,344.648,0.46,0.0,2,429.95300000000003,0.0,0.0,1,-19.8429878,-16.86067073,26.03893974,3,19000,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1271.493286,406.5893577,50,0,1,0
138,17.678,274.982,20.72,10.46,1,427.091,14.39,1.24,0,-26.18567073,-37.29939024,45.57338987,3,14200,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1339.292774,404.2891027,50,0,1,0
139,39.295,281.353,19.9,3.17,3,425.485,14.93,-0.11,0,-16.86859756,-39.33963415,42.80369608,3,13600,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1335.486009,403.2423004,50,0,1,0
141,28.881999999999998,863.145,34.58,0.41,3,1032.3319999999999,7.07,-11.66,2,-19.05182927,-45.20213415,49.05308481,3,15000,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,759.4908601,601.741462,50,0,1,0
142,0.42200000000000004,421.901,15.61,4.87,0,281.002,18.5,7.21,1,15.19939024,40.07957317,42.86482998,3,12500,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,402.3095944,1333.53519,50,0,1,0
145,29.697,287.74,15.22,0.0,2,421.629,15.23,8.41,0,-11.26310976,-39.63323171,41.20255692,3,12600,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1327.973234,402.2331126,50,0,1,0
159,33.966,460.369,14.18,-0.71,0,516.758,0.64,0.23,2,10.84695122,-25.61707317,27.81889266,3,12300,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1164.4526369999999,498.4491635,50,0,1,0
162,-45.49,545.601,9.74,-6.13,3,464.522,12.59,11.19,0,-8.275609757,31.45152439,32.52205564,3,11800,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,528.1119816,1155.059089,50,0,1,0
167,15.189,477.20099999999996,11.94,-0.93,0,564.775,5.0,0.5,2,2.3375,-30.76676829,30.85543611,3,11500,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1141.182006,546.3540117,50,0,1,0
168,-25.27,556.3,0.0,0.0,1,493.75199999999995,12.08,6.41,2,-2.233536585,22.24939024,22.36121759,3,10000,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,537.2286371,1124.500215,50,0,1,0
187,38.707,258.45599999999996,16.36,11.36,3,93.691,32.25,-0.24,3,21.57317073,44.82530488,49.74645367,3,10900,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1296.337252,290.05734889999997,50,0,1,0
200,-23.151999999999997,1490.3139999999999,48.46,-7.2,3,1617.8210000000001,43.74,0.0,2,0.944817073,-36.79908537,36.81121246,3,10300,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1440.296592,1110.10554,50,0,1,0
203,36.106,835.1569999999999,35.57,2.31,3,993.0319999999999,11.72,11.14,2,-14.83902439,-44.22408537,46.647254700000005,3,27700,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,786.9125897999999,634.991993,50,0,1,0
208,-25.396,1519.328,40.42,-0.35,3,1580.4660000000001,29.12,-3.97,2,-1.544512195,-18.60762195,18.67161248,3,12200,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1468.212324,1527.502356,50,0,1,0
221,-12.575999999999999,1621.3220000000001,46.57,0.0,1,1528.661,35.49,1.26,3,2.985670732,26.5695122,26.73673892,3,13100,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1562.084829,1476.497469,50,0,1,0
224,-33.594,1579.2120000000002,30.34,8.02,3,1495.6429999999998,48.56,10.87,3,-2.296646342,26.04603659,26.14709556,3,13400,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1522.872276,1444.6885220000001,50,0,1,0
228,-31.506,1399.335,44.52,0.0,3,1512.47,38.54,7.9,1,-6.205182926,-35.82682927,36.36022539,3,10400,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,912.9700786000001,1125.3589960000002,50,0,1,0
233,-31.500999999999998,1402.875,38.13,-2.25,3,1554.931,30.9,-0.17,3,1.2942073170000001,-47.88597561,47.90346159,3,10400,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1354.802085,1469.009589,50,0,1,0
235,-3.022,1451.443,43.28,5.93,1,1313.619,45.07,14.54,1,2.63597561,41.25304878,41.3371794,3,11800,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1412.3431699999999,934.3187266000001,50,0,1,0
253,-25.741,1530.996,36.32,-0.25,3,1616.995,36.12,15.84,3,3.925304878,-22.62378049,22.96178264,3,15400,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1479.194864,1514.383357,50,0,1,0
256,-8.716000000000001,1414.49,46.47,-0.75,1,1432.2839999999999,31.91,-2.66,3,6.204268292999999,-5.172256098,8.077448742,3,11300,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1376.2527380000001,1351.167867,50,0,1,0
257,-23.655,1511.0279999999998,35.56,-11.73,3,1565.649,30.42,1.23,3,2.323170731,-16.76981707,16.92997008,3,13400,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1428.2191050000001,1510.131173,50,0,1,0
258,-30.956999999999997,1411.246,40.58,6.72,3,1529.2779999999998,29.71,1.83,3,0.129878049,-37.52378049,37.52400526,3,10900,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1328.594763,1477.638106,50,0,1,0
288,-48.301,407.58099999999996,17.77,0.0,0,524.9490000000001,0.0,0.0,11,-28.28658537,-24.10609756,37.16496807,3,10000,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1140.463166,174.894521,50,0,1,0
294,-45.045,490.839,0.0,0.0,3,641.6080000000001,41.04,0.96,3,-20.515243899999998,-41.14969512,45.98013311,3,11300,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,473.5651821000001,623.5696136,50,0,1,0
302,-43.129,609.737,24.07,-11.17,3,490.839,0.0,0.0,3,16.26310976,32.38689024,36.24085262,3,22200,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,591.7291199,473.5651821000001,50,0,1,0
309,-33.546,640.604,31.56,-10.74,2,490.839,0.0,0.0,3,22.96829268,39.56646341,45.74983602,3,44500,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,621.7286157000001,473.5651821000001,50,0,0,1
311,-25.799,589.446,17.21,-9.72,1,490.839,0.0,0.0,3,18.34146341,24.53170732,30.63027822,3,44200,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,570.3534475,473.5651821000001,50,0,0,1
319,-45.034,493.351,4.08,-7.02,3,617.0419999999999,19.31,-11.19,2,-19.1152439,-32.6472561,37.83167826,3,48500,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,476.0488112,598.442062,50,0,0,1
322,-5.835,556.731,14.94,0.14,11,490.839,0.0,0.0,3,19.49237805,12.90396341,23.37659243,3,21500,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,202.516177,473.5651821000001,50,0,1,0
323,-22.965,1081.769,45.45,-7.61,2,1116.104,51.33,15.21,3,0.48841463399999996,-10.15152439,10.16326701,3,19200,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,715.3737481000001,1094.04419,50,0,1,0
326,-0.861,1493.329,33.35,11.17,1,1604.9470000000001,51.55,0.0,3,10.92042683,-32.02042683,33.83139749,3,30200,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1451.628764,1538.697791,50,0,0,1
327,-16.896,1166.333,38.05,10.03,1,1172.985,40.37,-5.2,3,5.086890243,-4.265853658999999,6.638822169,3,19800,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,792.7401969,1149.3107380000001,50,0,1,0
328,-4.244,593.6669999999999,23.11,3.78,11,513.837,0.07,0.0,3,21.91554878,16.4679878,27.41324316,3,14500,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,234.95780980000004,496.48979339999994,50,0,1,0
330,-33.848,662.048,31.98,-10.32,2,514.316,0.59,-4.83,3,22.80457317,39.02987805,45.20376022,3,47800,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,643.3565352,496.9676149,50,0,0,1
